NR_ZONA;NR_SECAO;NM_VOTAVEL;QT_VOTOS;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO
8;714;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 36;EQNP 05/09
13;252;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO MEDIO 414;QS 414 AE 01
5;297;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO FUNDAMENTAL 03;QUADRA 6 AREA ESPECIAL 3
14;102;WELLINGTON LUIZ DE SOUZA SILVA;7;SIGMA (ANTIGO INEI);SGAN 606 A/E MODULO A
13;414;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 604;QS 604 AE
15;314;WELLINGTON LUIZ DE SOUZA SILVA;7;UNIPLAN -CENTRO UNIVERSITARIO PLANALTO DO DISTRITO FEDERAL;AVENIDA PAU BRASIL, LOTE 2 - AGUAS CLARAS - DISTRITO FEDERAL
10;94;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO MEDIO 1 DO RIACHO FUNDO I;QUADRA 14 LOTE A
5;306;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO EDUCACIONAL 03;QUADRA 5 AREA ESPECIAL 5
21;75;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 317 DE SAMAMBAIA;QR 317 AREA ESPECIAL 3 LOTE 11
5;2;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 15;QUADRA 3 AREA ESPECIAL 1/2
13;233;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE EDUCACAO INFANTIL 210;QN 210 AE - SAMAMBAIA NORTE
19;165;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE N 15;QND 43 LT 23 AREA ESPECIAL
9;418;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA TECNICA DO GUARA - CEPAG / GUARA II;EQE 19/17 - LOTE A - GUARA II
21;288;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 512 DE SAMAMBAIA;QN 512 CONJUNTO 06 AE
9;212;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 3;QE 7 LT J AREA ESPECIAL
13;386;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 419;QS 419 AE 01
9;15;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 2;QE 2 AE A
13;280;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO FUNDAMENTAL 312;QS 312  CONJUNTO 05 LOTE 01
15;520;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO EDUCACIONAL CATOLICA DE BRASILIA;QS 07 LOTE 1 EPCT - TAGUATINGA SUL
17;379;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO FUNDAMENTAL 03 DO GAMA;E Q 6/11 A. E.S.LESTE
17;117;WELLINGTON LUIZ DE SOUZA SILVA;7;CEM 03;EQ 5/11 A.E. SETOR SUL
9;315;WELLINGTON LUIZ DE SOUZA SILVA;7;COLEGIO ELITE (ANTIGO JK);QE 08 AREA ESPECIAL 1
3;541;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE N 50;EQNL 02/04 AREA ESPECIAL
15;364;WELLINGTON LUIZ DE SOUZA SILVA;7;UNIPLAN -CENTRO UNIVERSITARIO PLANALTO DO DISTRITO FEDERAL;AVENIDA PAU BRASIL, LOTE 2 - AGUAS CLARAS - DISTRITO FEDERAL
17;301;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 03 DO GAMA;E/Q 10/15 - AE SETOR LESTE
13;25;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 403;QN 403/405  AREA ESPECIAL
21;330;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO FUNDAMENTAL 301 DO RECANTO DAS EMAS;QD 301 AE
18;218;WELLINGTON LUIZ DE SOUZA SILVA;7;ESG ESCOLA SUPERIOR DE GUERRA;SHJB 3, AV. DAS PAINEIRAS, QD 07, LT E/F, BL E - JARDIM BOTANICO - DF
15;380;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO UNIVERSITARIO EURO AMERICANO - UNIEURO;AVENIDA CASTANHEIRAS LOTE 370
10;278;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO FUNDAMENTAL II;QS 08 AE 02 - RIACHO FUNDO II
15;334;WELLINGTON LUIZ DE SOUZA SILVA;7;CEF N 09;QSD AE 02 SETOR D
8;793;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 01;EQNM 23/25                                               
10;211;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO EDUCACIONAL INFANTIL DA CANDANGOLANDIA;QR 1-A, PRACA DO BOSQUE
9;129;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO EDUCACIONAL 3;EQ 17/19 AE A
5;402;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO EDUCACIONAL 03;QUADRA 5 AREA ESPECIAL 5
6;425;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 15;ESTANCIA NOVA PLANALTINA QUADRA 01 AREA ESPECIAL
